sample,total_count,population,count,percentage
sample00014,92904,monocyte,24463,26.331482
sample00015,102691,b_cell,8261,8.044522
sample00015,102691,cd8_t_cell,21523,20.958993
sample00015,102691,cd4_t_cell,36217,35.26794
sample00015,102691,nk_cell,15753,15.340195
sample00015,102691,monocyte,20937,20.38835
sample00016,95824,b_cell,7433,7.756929
sample00016,95824,cd8_t_cell,22881,23.878152
sample00016,95824,cd4_t_cell,33881,35.35753
sample00016,95824,nk_cell,9432,9.843046
sample00016,95824,monocyte,22197,23.164343
sample00017,98639,b_cell,3226,3.270512
sample00017,98639,cd8_t_cell,20404,20.68553
sample00017,98639,cd4_t_cell,36405,36.907308
sample00017,98639,nk_cell,20739,21.025152
sample00017,98639,monocyte,17865,18.111497
sample00018,101123,b_cell,3578,3.538265
sample00018,101123,cd8_t_cell,29520,29.192172
sample00018,101123,cd4_t_cell,32675,32.312135
sample00018,101123,nk_cell,15537,15.364457
sample00018,101123,monocyte,19813,19.592971
sample00019,97405,b_cell,8022,8.235717
sample00019,97405,cd8_t_cell,27175,27.898978
sample00019,97405,cd4_t_cell,30759,31.578461
sample00019,97405,nk_cell,10983,11.275602
sample00019,97405,monocyte,20466,21.011242
sample00020,97228,b_cell,6382,6.563953
sample00020,97228,cd8_t_cell,17469,17.967047
sample00020,97228,cd4_t_cell,32731,33.664171
sample00020,97228,nk_cell,18056,18.570782
sample00020,97228,monocyte,22590,23.234048
sample00021,100750,b_cell,10337,10.26005
sample00021,100750,cd8_t_cell,19144,19.001489
sample00021,100750,cd4_t_cell,31535,31.300248
sample00021,100750,nk_cell,12763,12.66799
sample00021,100750,monocyte,26971,26.770223
sample00022,92670,b_cell,9563,10.319413
sample00022,92670,cd8_t_cell,22424,24.197691
sample00022,92670,cd4_t_cell,32814,35.409518
sample00022,92670,nk_cell,11565,12.479767
sample00022,92670,monocyte,16304,17.593612
sample00023,104960,b_cell,6924,6.596799
sample00023,104960,cd8_t_cell,28080,26.753049
sample00023,104960,cd4_t_cell,29844,28.433689
sample00023,104960,nk_cell,15792,15.045732
sample00023,104960,monocyte,24320,23.170732
sample00024,99969,b_cell,7552,7.554342
sample00024,99969,cd8_t_cell,27821,27.829627
sample00024,99969,cd4_t_cell,35270,35.280937
sample00024,99969,nk_cell,19681,19.687103
sample00024,99969,monocyte,9645,9.647991
sample00025,95534,b_cell,11714,12.261603
sample00025,95534,cd8_t_cell,21407,22.407729
sample00025,95534,cd4_t_cell,30323,31.740532
sample00025,95534,nk_cell,20301,21.250026
sample00025,95534,monocyte,11789,12.340109
sample00026,95777,b_cell,7936,8.285914
sample00026,95777,cd8_t_cell,23786,24.834772
sample00026,95777,cd4_t_cell,34545,36.068158
sample00026,95777,nk_cell,13929,14.543158
sample00026,95777,monocyte,15581,16.267998
sample00027,93164,b_cell,8850,9.499377
sample00027,93164,cd8_t_cell,21268,22.82856
sample00027,93164,cd4_t_cell,26079,27.992572
sample00027,93164,nk_cell,18191,19.525782
sample00027,93164,monocyte,18776,20.153707
sample00028,106062,b_cell,11386,10.73523
sample00028,106062,cd8_t_cell,28155,26.545794
sample00028,106062,cd4_t_cell,28400,26.776791
sample00028,106062,nk_cell,8870,8.363033
sample00028,106062,monocyte,29251,27.579152
sample00029,97156,b_cell,5606,5.770102
sample00029,97156,cd8_t_cell,28476,29.309564
sample00029,97156,cd4_t_cell,31305,32.221376
sample00029,97156,nk_cell,15860,16.324262
sample00029,97156,monocyte,15909,16.374696
sample00030,93972,b_cell,6413,6.824373
sample00030,93972,cd8_t_cell,25167,26.781382
sample00030,93972,cd4_t_cell,20437,21.747967
sample00030,93972,nk_cell,22317,23.748563
sample00030,93972,monocyte,19638,20.897714
sample00031,106625,b_cell,7007,6.57163
sample00031,106625,cd8_t_cell,30482,28.588042
sample00031,106625,cd4_t_cell,31653,29.686284
sample00031,106625,nk_cell,14167,13.286753
sample00031,106625,monocyte,23316,21.867292
sample00032,101357,b_cell,11118,10.969149
sample00032,101357,cd8_t_cell,19704,19.440197
sample00032,101357,cd4_t_cell,32582,32.145782
sample00032,101357,nk_cell,20603,20.32716
sample00032,101357,monocyte,17350,17.117713
sample00033,93131,b_cell,9054,9.72179
sample00033,93131,cd8_t_cell,31679,34.015527
sample00033,93131,cd4_t_cell,24897,26.733311
sample00033,93131,nk_cell,15569,16.717312
sample00033,93131,monocyte,11932,12.81206
sample00034,103870,b_cell,8350,8.038895
sample00034,103870,cd8_t_cell,26526,25.537691
sample00034,103870,cd4_t_cell,36716,35.348031
sample00034,103870,nk_cell,10994,10.584384
sample00034,103870,monocyte,21284,20.490998
sample00035,94622,b_cell,5327,5.629769
sample00035,94622,cd8_t_cell,28094,29.69077
sample00035,94622,cd4_t_cell,38264,40.438799
sample00035,94622,nk_cell,7249,7.661009
sample00035,94622,monocyte,15688,16.579654
sample00036,103532,b_cell,8635,8.340416
sample00036,103532,cd8_t_cell,29458,28.453039
sample00036,103532,cd4_t_cell,31787,30.702585
sample00036,103532,nk_cell,16498,15.93517
sample00036,103532,monocyte,17154,16.56879
sample00037,92368,b_cell,8915,9.651611
sample00037,92368,cd8_t_cell,21012,22.748138
sample00037,92368,cd4_t_cell,24564,26.593625
sample00037,92368,nk_cell,14367,15.554088
sample00037,92368,monocyte,23510,25.452538
sample00038,98897,b_cell,12062,12.196528
sample00038,98897,cd8_t_cell,18923,19.134049
sample00038,98897,cd4_t_cell,33109,33.478265
sample00038,98897,nk_cell,14376,14.536336
sample00038,98897,monocyte,20427,20.654823
sample00039,107756,b_cell,14634,13.580682
sample00039,107756,cd8_t_cell,26888,24.952671
sample00039,107756,cd4_t_cell,35553,32.993986
sample00039,107756,nk_cell,11872,11.017484
sample00039,107756,monocyte,18809,17.455177
sample00040,105943,b_cell,11007,10.389549
sample00040,105943,cd8_t_cell,25723,24.280037
sample00040,105943,cd4_t_cell,25872,24.420679
sample00040,105943,nk_cell,18325,17.297037
sample00040,105943,monocyte,25016,23.612697
sample00041,91358,b_cell,11583,12.678693
sample00041,91358,cd8_t_cell,23517,25.741588
sample00041,91358,cd4_t_cell,22586,24.72252
sample00041,91358,nk_cell,14431,15.796099
sample00041,91358,monocyte,19241,21.0611
sample00042,111631,b_cell,12118,10.855408
sample00042,111631,cd8_t_cell,22342,20.014154
sample00042,111631,cd4_t_cell,41403,37.08916
sample00042,111631,nk_cell,18660,16.715787
sample00042,111631,monocyte,17108,15.325492
sample00043,104827,b_cell,4750,4.531275
sample00043,104827,cd8_t_cell,23553,22.468448
sample00043,104827,cd4_t_cell,36392,34.716247
sample00043,104827,nk_cell,15769,15.04288
sample00043,104827,monocyte,24363,23.24115
sample00044,106034,b_cell,15793,14.894279
sample00044,106034,cd8_t_cell,25351,23.908369
sample00044,106034,cd4_t_cell,37025,34.918045
sample00044,106034,nk_cell,13972,13.176906
sample00044,106034,monocyte,13893,13.102401
sample00045,104473,b_cell,13792,13.201497
sample00045,104473,cd8_t_cell,26314,25.187369
sample00045,104473,cd4_t_cell,33714,32.270539
sample00045,104473,nk_cell,17105,16.372651
sample00045,104473,monocyte,13548,12.967944
sample00046,105731,b_cell,7726,7.307223
sample00046,105731,cd8_t_cell,25456,24.076193
sample00046,105731,cd4_t_cell,29221,27.637117
sample00046,105731,nk_cell,17901,16.930701
sample00046,105731,monocyte,25427,24.048765
sample00047,93338,b_cell,8249,8.837772
sample00047,93338,cd8_t_cell,20566,22.033898
sample00047,93338,cd4_t_cell,37597,40.280486
sample00047,93338,nk_cell,11057,11.846193
sample00047,93338,monocyte,15869,17.00165
sample00048,105178,b_cell,13648,12.976098
sample00048,105178,cd8_t_cell,32565,30.961798
sample00048,105178,cd4_t_cell,31150,29.61646
sample00048,105178,nk_cell,10330,9.821446
sample00048,105178,monocyte,17485,16.624199
sample00049,104513,b_cell,11419,10.925914
sample00049,104513,cd8_t_cell,20811,19.912355
sample00049,104513,cd4_t_cell,29883,28.592615
sample00049,104513,nk_cell,21731,20.792629
sample00049,104513,monocyte,20669,19.776487
sample00050,106504,b_cell,14113,13.251145
sample00050,106504,cd8_t_cell,32701,30.704011
sample00050,106504,cd4_t_cell,32832,30.827011
sample00050,106504,nk_cell,13959,13.10655
sample00050,106504,monocyte,12899,12.111282
sample00051,88918,b_cell,9765,10.982028
sample00051,88918,cd8_t_cell,21622,24.316786
sample00051,88918,cd4_t_cell,25644,28.840055
sample00051,88918,nk_cell,12678,14.25808
sample00051,88918,monocyte,19209,21.60305
sample00052,95942,b_cell,11122,11.59242
sample00052,95942,cd8_t_cell,30718,32.01726
sample00052,95942,cd4_t_cell,21886,22.811699
sample00052,95942,nk_cell,11639,12.131288
sample00052,95942,monocyte,20577,21.447333
sample00053,99135,b_cell,11822,11.925153
sample00053,99135,cd8_t_cell,26750,26.983406
sample00053,99135,cd4_t_cell,30587,30.853886
sample00053,99135,nk_cell,7432,7.496848
sample00053,99135,monocyte,22544,22.740707
sample00054,99486,b_cell,7782,7.822206
sample00054,99486,cd8_t_cell,26235,26.370545
sample00054,99486,cd4_t_cell,26399,26.535392
sample00054,99486,nk_cell,18328,18.422693
sample00054,99486,monocyte,20742,20.849165
sample00055,101344,b_cell,11645,11.490567
sample00055,101344,cd8_t_cell,23172,22.864698
sample00055,101344,cd4_t_cell,34912,34.449005
sample00055,101344,nk_cell,15392,15.187875
sample00055,101344,monocyte,16223,16.007854
sample00056,92361,b_cell,11022,11.933608
sample00056,92361,cd8_t_cell,18780,20.333258
sample00056,92361,cd4_t_cell,24674,26.714739
sample00056,92361,nk_cell,17791,19.262459
sample00056,92361,monocyte,20094,21.755936
sample00057,111127,b_cell,15157,13.63935
sample00057,111127,cd8_t_cell,19991,17.989328
sample00057,111127,cd4_t_cell,40906,36.810136
sample00057,111127,nk_cell,11254,10.127152
sample00057,111127,monocyte,23819,21.434035
sample00058,93201,b_cell,10510,11.276703
sample00058,93201,cd8_t_cell,20389,21.876375
sample00058,93201,cd4_t_cell,28561,30.644521
sample00058,93201,nk_cell,16299,17.48801
sample00058,93201,monocyte,17442,18.714391
sample00059,108944,b_cell,17545,16.104604
sample00059,108944,cd8_t_cell,24675,22.649251
sample00059,108944,cd4_t_cell,33022,30.310985
sample00059,108944,nk_cell,14244,13.074607
sample00059,108944,monocyte,19458,17.860552
sample00060,103534,b_cell,11035,10.658334
sample00060,103534,cd8_t_cell,21406,20.675334
sample00060,103534,cd4_t_cell,38817,37.492032
sample00060,103534,nk_cell,14559,14.062047
sample00060,103534,monocyte,17717,17.112253
sample00061,111970,b_cell,4508,4.026078
sample00061,111970,cd8_t_cell,34867,31.139591
sample00061,111970,cd4_t_cell,38281,34.188622
sample00061,111970,nk_cell,16013,14.301152
sample00061,111970,monocyte,18301,16.344557
sample00062,95286,b_cell,10066,10.563986
sample00062,95286,cd8_t_cell,20104,21.098587
sample00062,95286,cd4_t_cell,21554,22.620322
sample00062,95286,nk_cell,17505,18.371009
sample00062,95286,monocyte,26057,27.346095
sample00063,93940,b_cell,7236,7.702789
sample00063,93940,cd8_t_cell,32409,34.499681
sample00063,93940,cd4_t_cell,29335,31.227379
sample00063,93940,nk_cell,10459,11.133702
sample00063,93940,monocyte,14501,15.436449
sample00064,109577,b_cell,10199,9.30761
sample00064,109577,cd8_t_cell,24842,22.670816
sample00064,109577,cd4_t_cell,33535,30.60405
sample00064,109577,nk_cell,16300,14.875384
sample00064,109577,monocyte,24701,22.542139
sample00065,92559,b_cell,8425,9.102302
sample00065,92559,cd8_t_cell,28293,30.56753
sample00065,92559,cd4_t_cell,24750,26.739701
sample00065,92559,nk_cell,12096,13.068421
sample00065,92559,monocyte,18995,20.522045
sample00066,107284,b_cell,8052,7.505313
sample00066,107284,cd8_t_cell,35323,32.92476
sample00066,107284,cd4_t_cell,37350,34.814138
sample00066,107284,nk_cell,13927,12.981432
sample00066,107284,monocyte,12632,11.774356
sample00067,107589,b_cell,11874,11.036444
sample00067,107589,cd8_t_cell,24116,22.414931
sample00067,107589,cd4_t_cell,29460,27.381981
sample00067,107589,nk_cell,21402,19.892368
sample00067,107589,monocyte,20737,19.274275
sample00068,110245,b_cell,10501,9.525149
sample00068,110245,cd8_t_cell,33801,30.659894
sample00068,110245,cd4_t_cell,35458,32.16291
sample00068,110245,nk_cell,7397,6.709601
sample00068,110245,monocyte,23088,20.942446
sample00069,110094,b_cell,11742,10.665431
sample00069,110094,cd8_t_cell,30825,27.998801
sample00069,110094,cd4_t_cell,35087,31.870038
sample00069,110094,nk_cell,12904,11.720893
sample00069,110094,monocyte,19536,17.744836
sample00070,97532,b_cell,9131,9.362056
sample00070,97532,cd8_t_cell,21272,21.810278
sample00070,97532,cd4_t_cell,31460,32.25608
sample00070,97532,nk_cell,15908,16.310544
sample00070,97532,monocyte,19761,20.261043
sample00071,96197,b_cell,5029,5.227814
sample00071,96197,cd8_t_cell,19587,20.361342
sample00071,96197,cd4_t_cell,36013,37.436718
sample00071,96197,nk_cell,19596,20.370698
sample00071,96197,monocyte,15972,16.603428
sample00072,93613,b_cell,8730,9.325628
sample00072,93613,cd8_t_cell,26500,28.308034
sample00072,93613,cd4_t_cell,22481,24.014827
sample00072,93613,nk_cell,16601,17.733648
sample00072,93613,monocyte,19301,20.617863
sample00073,104898,b_cell,10426,9.939179
sample00073,104898,cd8_t_cell,28944,27.592518
sample00073,104898,cd4_t_cell,26510,25.272169
sample00073,104898,nk_cell,19451,18.542775
sample00073,104898,monocyte,19567,18.653359
sample00074,92232,b_cell,13166,14.274872
sample00074,92232,cd8_t_cell,18608,20.17521
sample00074,92232,cd4_t_cell,33699,36.537211
sample00074,92232,nk_cell,15559,16.869416
sample00074,92232,monocyte,11200,12.143291
sample00075,104711,b_cell,14480,13.828538
sample00075,104711,cd8_t_cell,26460,25.269551
sample00075,104711,cd4_t_cell,33149,31.65761
sample00075,104711,nk_cell,14983,14.308907
sample00075,104711,monocyte,15639,14.935394
sample00076,110097,b_cell,12385,11.249171
sample00076,110097,cd8_t_cell,23764,21.584603
sample00076,110097,cd4_t_cell,37340,33.915547
sample00076,110097,nk_cell,15701,14.261061
sample00076,110097,monocyte,20907,18.989618
sample00077,105432,b_cell,9602,9.107292
sample00077,105432,cd8_t_cell,18744,17.778284
sample00077,105432,cd4_t_cell,42528,40.3369
sample00077,105432,nk_cell,16602,15.746642
sample00077,105432,monocyte,17956,17.030882
sample00078,107869,b_cell,5623,5.212804
sample00078,107869,cd8_t_cell,32983,30.576903
sample00078,107869,cd4_t_cell,26856,24.896866
sample00078,107869,nk_cell,18744,17.376633
sample00078,107869,monocyte,23663,21.936794
sample00079,99165,b_cell,5792,5.84077
sample00079,99165,cd8_t_cell,32012,32.281551
sample00079,99165,cd4_t_cell,32123,32.393486
sample00079,99165,nk_cell,10792,10.882872
sample00079,99165,monocyte,18446,18.601321
sample00080,95727,b_cell,5519,5.765354
sample00080,95727,cd8_t_cell,22834,23.853249
sample00080,95727,cd4_t_cell,31007,32.39107
sample00080,95727,nk_cell,17450,18.228922
sample00080,95727,monocyte,18917,19.761405
sample00081,93286,b_cell,9595,10.285573
sample00081,93286,cd8_t_cell,18940,20.303154
sample00081,93286,cd4_t_cell,31245,33.493772
sample00081,93286,nk_cell,14582,15.631499
sample00081,93286,monocyte,18924,20.286002
sample00082,103389,b_cell,6068,5.869096
sample00082,103389,cd8_t_cell,31190,30.167619
sample00082,103389,cd4_t_cell,30549,29.547631
sample00082,103389,nk_cell,17900,17.313254
sample00082,103389,monocyte,17682,17.1024
sample00083,88242,b_cell,7306,8.279504
sample00083,88242,cd8_t_cell,23204,26.295868
sample00083,88242,cd4_t_cell,23762,26.92822
sample00083,88242,nk_cell,16442,18.632851
sample00083,88242,monocyte,17528,19.863557
sample00084,100815,b_cell,10469,10.384367
sample00084,100815,cd8_t_cell,24997,24.794921
sample00084,100815,cd4_t_cell,28340,28.110896
sample00084,100815,nk_cell,18128,17.981451
sample00084,100815,monocyte,18881,18.728364
sample00085,102542,b_cell,13770,13.428644
sample00085,102542,cd8_t_cell,32384,31.581206
sample00085,102542,cd4_t_cell,26218,25.56806
sample00085,102542,nk_cell,17263,16.835053
sample00085,102542,monocyte,12907,12.587038
sample00086,105610,b_cell,12479,11.816116
sample00086,105610,cd8_t_cell,18340,17.36578
sample00086,105610,cd4_t_cell,31475,29.803049
sample00086,105610,nk_cell,26652,25.236247
sample00086,105610,monocyte,16664,15.778809
sample00087,91946,b_cell,5686,6.184065
sample00087,91946,cd8_t_cell,21892,23.809627
sample00087,91946,cd4_t_cell,26848,29.199748
sample00087,91946,nk_cell,12424,13.512279
sample00087,91946,monocyte,25096,27.294281
sample00088,101732,b_cell,6883,6.765816
sample00088,101732,cd8_t_cell,23831,23.425274
sample00088,101732,cd4_t_cell,31277,30.744505
sample00088,101732,nk_cell,18993,18.669642
sample00088,101732,monocyte,20748,20.394763
sample00089,107271,b_cell,14432,13.453776
sample00089,107271,cd8_t_cell,23729,22.12061
sample00089,107271,cd4_t_cell,31757,29.60446
sample00089,107271,nk_cell,15290,14.253619
sample00089,107271,monocyte,22063,20.567535
sample00090,102290,b_cell,13492,13.18995
sample00090,102290,cd8_t_cell,20490,20.031284
sample00090,102290,cd4_t_cell,26759,26.159937
sample00090,102290,nk_cell,18101,17.695767
sample00090,102290,monocyte,23448,22.923062
sample00091,102598,b_cell,4652,4.534201
sample00091,102598,cd8_t_cell,30489,29.716954
sample00091,102598,cd4_t_cell,33782,32.926568
sample00091,102598,nk_cell,17885,17.432114
sample00091,102598,monocyte,15790,15.390164
sample00092,113429,b_cell,7510,6.620882
sample00092,113429,cd8_t_cell,22955,20.237329
sample00092,113429,cd4_t_cell,37137,32.740305
sample00092,113429,nk_cell,22559,19.888212
sample00092,113429,monocyte,23268,20.513273
sample00093,109064,b_cell,8676,7.954962
sample00093,109064,cd8_t_cell,22893,20.990428
sample00093,109064,cd4_t_cell,33280,30.514194
sample00093,109064,nk_cell,27470,25.187046
sample00093,109064,monocyte,16745,15.35337
sample00094,102270,b_cell,13462,13.163195
sample00094,102270,cd8_t_cell,19888,19.446563
sample00094,102270,cd4_t_cell,23802,23.273687
sample00094,102270,nk_cell,19233,18.806101
sample00094,102270,monocyte,25885,25.310453
sample00095,93081,b_cell,4896,5.259935
sample00095,93081,cd8_t_cell,29022,31.179295
sample00095,93081,cd4_t_cell,17746,19.065115
sample00095,93081,nk_cell,13579,14.588369
sample00095,93081,monocyte,27838,29.907285
sample00096,108158,b_cell,8717,8.059506
sample00096,108158,cd8_t_cell,29369,27.153794
sample00096,108158,cd4_t_cell,31047,28.705228
sample00096,108158,nk_cell,13509,12.490061
sample00096,108158,monocyte,25516,23.591413
sample00097,100776,b_cell,11469,11.380686
sample00097,100776,cd8_t_cell,25912,25.712471
sample00097,100776,cd4_t_cell,25644,25.446535
sample00097,100776,nk_cell,11004,10.919266
sample00097,100776,monocyte,26747,26.541042
sample00098,105304,b_cell,10482,9.954038
sample00098,105304,cd8_t_cell,25543,24.256439
sample00098,105304,cd4_t_cell,31326,29.748158
sample00098,105304,nk_cell,14459,13.730722
sample00098,105304,monocyte,23494,22.310643
sample00099,107859,b_cell,12589,11.67172
sample00099,107859,cd8_t_cell,30282,28.075543
sample00099,107859,cd4_t_cell,30346,28.13488
sample00099,107859,nk_cell,18392,17.051892
sample00099,107859,monocyte,16250,15.065966
sample00100,106648,b_cell,12923,12.117433
sample00100,106648,cd8_t_cell,24732,23.190308
sample00100,106648,cd4_t_cell,32069,30.06995
sample00100,106648,nk_cell,19335,18.129735
sample00100,106648,monocyte,17589,16.492574
sample00101,100154,b_cell,18583,18.554426
sample00101,100154,cd8_t_cell,28514,28.470156
sample00101,100154,cd4_t_cell,23455,23.418935
sample00101,100154,nk_cell,11925,11.906664
sample00101,100154,monocyte,17677,17.649819
sample00102,102212,b_cell,16339,15.985403
sample00102,102212,cd8_t_cell,15936,15.591124
sample00102,102212,cd4_t_cell,30765,30.099206
sample00102,102212,nk_cell,16631,16.271084
sample00102,102212,monocyte,22541,22.053184
sample00103,109022,b_cell,8845,8.113041
sample00103,109022,cd8_t_cell,29598,27.148649
sample00103,109022,cd4_t_cell,40757,37.384198
sample00103,109022,nk_cell,9386,8.609272
sample00103,109022,monocyte,20436,18.74484
sample00104,110049,b_cell,7005,6.365346
sample00104,110049,cd8_t_cell,22323,20.2846
sample00104,110049,cd4_t_cell,37678,34.237476
sample00104,110049,nk_cell,22843,20.757117
sample00104,110049,monocyte,20200,18.35546
sample00105,97807,b_cell,10654,10.892881
sample00105,97807,cd8_t_cell,20879,21.347143
sample00105,97807,cd4_t_cell,27062,27.668776
sample00105,97807,nk_cell,14944,15.27907
sample00105,97807,monocyte,24268,24.81213
sample00106,93933,b_cell,10373,11.042977
sample00106,93933,cd8_t_cell,17211,18.322634
sample00106,93933,cd4_t_cell,31487,33.520701
sample00106,93933,nk_cell,15182,16.162584
sample00106,93933,monocyte,19680,20.951103
sample00107,102371,b_cell,17623,17.214836
sample00107,102371,cd8_t_cell,22928,22.396968
sample00107,102371,cd4_t_cell,41127,40.174463
sample00107,102371,nk_cell,10535,10.291
sample00107,102371,monocyte,10158,9.922732
sample00108,97245,b_cell,4983,5.124171
sample00108,97245,cd8_t_cell,27559,28.33976
sample00108,97245,cd4_t_cell,26215,26.957684
sample00108,97245,nk_cell,17005,17.48676
sample00108,97245,monocyte,21483,22.091624
sample00109,104944,b_cell,13509,12.87258
sample00109,104944,cd8_t_cell,20448,19.484678
sample00109,104944,cd4_t_cell,37336,35.57707
sample00109,104944,nk_cell,19606,18.682345
sample00109,104944,monocyte,14045,13.383328
sample00110,97311,b_cell,11477,11.794145
sample00110,97311,cd8_t_cell,23447,24.094912
sample00110,97311,cd4_t_cell,34048,34.98885
sample00110,97311,nk_cell,13382,13.751786
sample00110,97311,monocyte,14957,15.370308
sample00111,102821,b_cell,15992,15.553243
sample00111,102821,cd8_t_cell,23376,22.734655
sample00111,102821,cd4_t_cell,35615,34.637866
sample00111,102821,nk_cell,15400,14.977485
sample00111,102821,monocyte,12438,12.096751
sample00112,99754,b_cell,8100,8.119975
sample00112,99754,cd8_t_cell,25296,25.358382
sample00112,99754,cd4_t_cell,32544,32.624256
sample00112,99754,nk_cell,12267,12.297251
sample00112,99754,monocyte,21547,21.600136
sample00113,108308,b_cell,8777,8.103741
sample00113,108308,cd8_t_cell,28919,26.700705
sample00113,108308,cd4_t_cell,33746,31.15744
sample00113,108308,nk_cell,10391,9.593936
sample00113,108308,monocyte,26475,24.444178
sample00114,106352,b_cell,13741,12.920302
sample00114,106352,cd8_t_cell,28857,27.133481
sample00114,106352,cd4_t_cell,31383,29.508613
sample00114,106352,nk_cell,18088,17.007673
sample00114,106352,monocyte,14283,13.429931
sample00115,92639,b_cell,5722,6.176664
sample00115,92639,cd8_t_cell,23044,24.875053
sample00115,92639,cd4_t_cell,29410,31.746888
sample00115,92639,nk_cell,15162,16.366757
sample00115,92639,monocyte,19301,20.834638
sample00116,99836,b_cell,6304,6.314356
sample00116,99836,cd8_t_cell,18835,18.86594
sample00116,99836,cd4_t_cell,39506,39.570896
sample00116,99836,nk_cell,19426,19.457911
sample00116,99836,monocyte,15765,15.790897
sample00117,93271,b_cell,8561,9.17863
sample00117,93271,cd8_t_cell,28864,30.946382
sample00117,93271,cd4_t_cell,23471,25.164306
sample00117,93271,nk_cell,13853,14.852419
sample00117,93271,monocyte,18522,19.858262
sample00118,96176,b_cell,8314,8.644568
sample00118,96176,cd8_t_cell,28113,29.230785
sample00118,96176,cd4_t_cell,26165,27.205332
sample00118,96176,nk_cell,17439,18.132382
sample00118,96176,monocyte,16145,16.786932
sample00119,109329,b_cell,10519,9.621418
sample00119,109329,cd8_t_cell,24245,22.176184
sample00119,109329,cd4_t_cell,29357,26.851979
sample00119,109329,nk_cell,15664,14.327397
sample00119,109329,monocyte,29544,27.023022
sample00120,99469,b_cell,5301,5.329299
sample00120,99469,cd8_t_cell,25850,25.987996
sample00120,99469,cd4_t_cell,28293,28.444038
sample00120,99469,nk_cell,18999,19.100423
sample00120,99469,monocyte,21026,21.138244
sample00121,100448,b_cell,6109,6.081754
sample00121,100448,cd8_t_cell,23796,23.689869
sample00121,100448,cd4_t_cell,28027,27.901999
sample00121,100448,nk_cell,18883,18.798781
sample00121,100448,monocyte,23633,23.527596
sample00122,102361,b_cell,9758,9.532928
sample00122,102361,cd8_t_cell,28775,28.111292
